adm0_name,adm1_name,mkt_name,cm_name,cur_name,pt_name,um_name,mp_month,mp_year,mp_price,mp_commoditysource
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,5,2017,14.0,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,6,2017,15.62,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,1,2010,6.95,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,2,2010,6.94,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,3,2010,6.94,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,4,2010,6.67,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,5,2010,6.82,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,6,2010,6.64,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,7,2010,6.73,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,8,2010,6.83,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,9,2010,7.32,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,10,2010,7.36,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,11,2010,7.27,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,12,2010,7.31,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,1,2011,7.37,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,2,2011,7.27,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,3,2011,7.35,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,4,2011,7.38,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,5,2011,7.34,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,6,2011,7.35,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,7,2011,7.35,INE
Bolivia,Chuquisaca,Sucre,Noodles (short),BOB,Retail,KG,8,2011,7.31,INE
